"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","アルストツカ"
"AccessPermitInner","Access Permit","入境許可証"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","本許可証は主権国家アルストツカへの条件付き入国を認めるものである。"
"AccessPermitInner","NAME","氏名"
"AccessPermitInner","NATIONALITY","国籍"
"AccessPermitInner","PURPOSE","目的"
"AccessPermitInner","HEIGHT","身長"
"AccessPermitInner","PHYSICAL APPEARANCE","身体的特徴"
"AccessPermitInner","ID NUMBER","ID番号"
"AccessPermitInner","DURATION","滞在期間"
"AccessPermitInner","WEIGHT","体重"
"AccessPermitInner","ENTER BY","入国日"
"AccessPermitInner","Keep on person","常時携帯"
"AccessPermitInner","Ministry of Admission","入国管理省"
"AsylumGrantInner","Arstotzka","アルストツカ"
"AsylumGrantInner","GRANT of ASYLUM","亡命認可証"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","本許可証にて以下の者をアルストツカへの暫定亡命者として認める。"
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","DOB"
"AsylumGrantInner","HT","HT"
"AsylumGrantInner","WT","WT"
"AsylumGrantInner","Offer expires after","有効期限"
"AsylumGrantInner","Ministry of Admission","入国管理省"
"BizCardInnerFront","ENGINEERING","エンジニアリング"
"BizCardInnerFront","Director","取締役"
"BizCardInnerBack","WE NEED ENGINEERS","エンジニア募集"
"BizCardInnerBack","WILL BEAT .GOV PAY","給与は政府支払い額以上！"
"BizCardInnerBack","CONTACT NOW","今すぐ連絡を！"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","私と妹は<span>Dari Ludum</span>という男に、アルストツカで良い仕事を紹介<br>すると言われてやって来ました。"
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","でも彼は信用できません。<br>きっと私たちのパスポートは<br>奪われて売られるんだと思います。<br>彼も今日の列に並んでいます。"
"BrothelHelpInner","Please do something.","どうか助けて下さい。"
"BulletinInnerDiploTut","Diplomat","外交職員"
"BulletinInnerDiploTut","Verification Procedure","確認手順"
"BulletinInnerDiploTut","Verify issuing country","発行国を確認"
"BulletinInnerDiploTut","Verify identity","IDを確認"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","アルストツカへの外交入国の特権を所持しているか確認"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","不足書類は、規則書内の関係記載箇所とカウンターを選択することで関連付けが可能。"
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","違反箇所と規則書内の該当箇所を関連付けよ。"
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","武器・密輸品発見時には、規則書内の記載箇所と関連付けよ。"
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","調査モードで矛盾する２つの情報を選択することで入国者への審問が可能。"
"BulletinInnerPassportTut","Pay attention to passport nationality.","パスポートの国籍に注意を払え。"
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","アルストツカ<br>入国管理省"
"BulletinInnerBoothTut","Inspector's Booth","審査官ブース"
"BulletinInnerBoothTut","Shutter","安全扉"
"BulletinInnerBoothTut","Counter","カウンター"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","規則書<br>録音記録<br>公報保管場所<br>時刻 &amp; 日付"
"BulletinInnerGunTut","Weapons Protocol","武器使用規定"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","警報作動時"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","鍵穴にキーを差し込み、<br>武器を解錠。"
"BulletinInnerGunTut","Select gun, aim and fire.","銃を選び、狙いを定め発砲。"
"BulletinInnerGunTut","Time is short. Act fast.","時間は限られている。<br>迅速に行動せよ。"
"BulletinInnerFilerTut","Passport Confiscation","パスポートの押収"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","IDでアルタン住民か確認。"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","押収品の引き出しに<br>パスポートを入れよ。"
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","逮捕する際は<br>拘束前に押収せよ。"
"BulletinInnerCriminals","Ministry of Justice","法務省"
"BulletinInnerCriminals","WANTED CRIMINALS","指名手配犯"
"BulletinInnerNews","NEWS","日報"
"BulletinPagesNote","CHECK ALL<br>PAGES","全ページを<br>確認せよ"
"CitationInner","M.O.A. CITATION","入管省 通告"
"DiplomaticAuthInner","Diplomatic<br>Authorization","外交特権<br>証明書"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","本書は下記の職員に国際評議会加盟国の外交官としての特権を認めるものである。"
"DiplomaticAuthInner","AGENT","職員"
"DiplomaticAuthInner","PASSPORT","パスポート"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","本書の提示により、以下に記載された全ての国際評議会加盟国に無条件で入国が許可される。"
"DiplomaticAuthInner","This document has no expiry.","本書に有効期限はない。"
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","国際評議会 - 七カ国フォーラム"
"EntryPermitInner","ARSTOTZKA","アルストツカ"
"EntryPermitInner","Entry Permit","入国許可証"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","下記の者は、主権国家アルストツカへの条件付き入国が認められる。"
"EntryPermitInner","bearing passport number","所持パスポート番号"
"EntryPermitInner","Purpose","目的"
"EntryPermitInner","Duration","滞在期間"
"EntryPermitInner","Enter by","入国日"
"EntryPermitInner","Ministry of Admission","入国管理省"
"EntryTicketInner","Arstotzka","ｱﾙｽﾄﾂｶ"
"EntryTicketInner","ENTRY TICKET","入国券"
"EntryTicketInner","VALID ON","有効日"
"EzicNoteInnerOpen","READ QUICKLY","スミヤカニ　ヨミ"
"EzicNoteInnerOpen","RETURN TO MESSENGER","シシャニ　ヘンキャク　セヨ"
"FamilyPhotoInner","HANG ON WALL","壁掛可能"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","入国希望者に本紙を渡すこと"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","オブリスタンの<br>書類なら！"
"ForgeryFlyerInnerFront","""It looks so real!""","「どうみても本物！」"
"ForgeryFlyerInnerFront","""Approved for entry!""","「入国が許可されました！」"
"ForgeryFlyerInnerFront","Fair rates!","安心価格！"
"ForgeryFlyerInnerFront","No questions asked!","目的不問！"
"ForgeryFlyerInnerFront","Fast turnaround!","即発行！"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","各種条件は裏面"
"ForgeryFlyerInnerBack","PRICING (EACH)","価格（一通あたり）"
"ForgeryFlyerInnerBack","Passport *","パスポート"
"ForgeryFlyerInnerBack","Entry Ticket","入国券"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","上書き用にオブリスタンの<br>最新パスポートをお客様ご自身に<br>ご用意して頂く必要がございます。"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","アルストツカ／オブリスタン<br>国境付近にて営業中"
